"","site","stat_id","id","mag","bc"
"1",1,1,29,0,0.177681379400012
"2",2,3,241,0,0.172224853900447
"3",3,4,249,0.259631785550887,0.210266578039123
"4",4,5,3062,0.259631785550887,0.210266578039123
"5",5,6,272,0,0.202017691775542
"6",6,7,275,0.0602857852694519,0.189575752235238
"7",7,8,280,0,0.178839731040419
"8",8,10,298,0,0.14459794497949
"9",9,11,305,0,0.0711500466447449
"10",10,13,325,0.026848326640662,0.192622346753803
"11",11,14,334,0.144244336783632,0.0847486767917796
"12",12,15,352,0.259631785550887,0.210266578039123
"13",13,19,545,0.0236600564152701,0.175080683657098
"14",14,22,786,0.115610898392348,0.0630959704406479
"15",15,24,822,0.070673998267106,0.0622119719771266
"16",16,25,824,0.481695543298618,0.229346340166014
"17",17,26,846,0.0295702646372318,0.18800357530744
"18",18,27,850,0.324667078068495,0.165060373814261
"19",19,28,869,0,0.0711500466447449
"20",20,29,15245,0,0.0711500466447449
"21",21,31,990,0.0295702646372318,0.18800357530744
"22",22,35,1111,0,0.172905962870398
"23",23,36,1134,0.0332039696257354,0.192594422056392
"24",24,38,1153,0,0.178839731040419
"25",25,39,3138,0,0.139492454060096
"26",26,40,15274,0.266467264770128,0.170232533988969
"27",27,42,1520,0.070673998267106,0.0622119719771266
"28",28,43,3455,0.070673998267106,0.0622119719771266
"29",29,44,1548,0.0440017111685273,0.223230341463801
"30",30,47,1584,0.358509923211311,0.195435825218413
"31",31,48,3468,0.358509923211311,0.195435825218413
"32",32,49,1588,0.070673998267106,0.0622119719771266
"33",33,50,1629,0.226643719107931,0.203038121175797
"34",34,51,1633,0.200745861583163,0.110001898934613
"35",35,52,1639,0.112362037267525,0.190235267605181
"36",36,54,1708,0,0.14459794497949
"37",37,55,1720,0.0295702646372318,0.18800357530744
"38",38,56,1757,0,0.14459794497949
"39",39,57,3492,0,0.14459794497949
"40",40,59,1778,0,0.142718617068443
"41",41,61,1786,0.0518248160808783,0.181826246003857
"42",42,64,1830,0.0649469092088183,0.18509337733394
"43",43,65,1831,0,0.175969249020713
"44",44,67,3558,0.181262266593237,0.106328832457012
"45",45,70,1891,0.0578900773411547,0.156679201721417
"46",46,71,1955,0.115610898392348,0.0630959704406479
"47",47,72,1966,0.254779391064156,0.186350165864098
"48",48,73,2051,0.0295702646372318,0.18800357530744
"49",49,74,2053,0.21438417522613,0.18462513591604
"50",50,75,2062,0.267715142239038,0.234585556216854
"51",51,76,3568,0.0246148078935086,0.163979449467234
"52",52,77,2290,0,0.183220896627305
"53",53,78,2314,0.227278149838898,0.133771464855325
"54",54,80,2375,0.026848326640662,0.192622346753803
"55",55,81,2383,0.324667078068495,0.165060373814261
"56",56,82,2394,0,0.178839731040419
"57",57,84,2584,0.226643719107931,0.203038121175797
"58",58,85,2585,0.327030958973255,0.22952057022267
"59",59,88,2613,0.143154074389407,0.103370866366801
"60",60,89,2638,0.0295702646372318,0.18800357530744
"61",61,90,2640,0.237665770103454,0.225618207988659
"62",62,91,2648,0.266467264770128,0.170232533988969
"63",63,92,2881,0.0549172712486942,0.191123107739814
"64",64,93,2888,0.21438417522613,0.18462513591604
"65",65,94,3837,0.0329505184625539,0.201729128036695
"66",66,95,2948,0,0.16570786719181
"67",67,96,2952,0.134705477434615,0.189044710694929
"68",68,99,3031,0.181262266593237,0.106328832457012
"69",69,102,10973,0.259631785550887,0.210266578039123
"70",70,103,10974,0.259631785550887,0.210266578039123
"71",71,104,10975,0,0.170400226845648
"72",72,105,10976,0.354996211867445,0.186448414000138
"73",73,106,10977,0,0.16530518906149
"74",74,108,12005,0,0.180241873396364
"75",75,110,12007,0.0729582799903964,0.0606998253847919
"76",76,111,12008,0,0.0711500466447449
"77",77,113,12010,0.0540335447380559,0.0452991134714451
"78",78,114,12011,0,0.165781445732645
"79",79,117,12014,0,0.176426961809482
"80",80,119,15248,0,0.0433589464211502
"81",81,121,13029,0.0540335447380559,0.0452991134714451
"82",82,122,13032,0,0.0711500466447449
"83",83,123,13051,0.256660542497777,0.194396249462014
"84",84,126,14270,0.376195877124338,0.195256719600369
"85",85,128,14435,0,0.188870431195527
"86",86,129,14535,0.0548482381907886,0.0478914767480384
"87",87,130,14537,0.040672972232446,0.0349008436986574
"88",88,131,14539,0.234081841231799,0.143897561187099
"89",89,132,14626,0.0729582799903964,0.0606998253847919
"90",90,133,14631,0.0260299132395379,0.123176829109422
"91",91,134,14633,0.240090958344562,0.142888392428754
"92",92,135,14635,0.040672972232446,0.0349008436986574
"93",93,136,14637,0.0548482381907886,0.0478914767480384
"94",94,137,14639,0.0729582799903964,0.0606998253847919
"95",95,138,14641,0.227278149838898,0.133771464855325
"96",96,139,14643,0,0.0711500466447449
"97",97,140,14645,0.266467264770128,0.170232533988969
"98",98,141,20311,0,0.165781445732645
"99",99,142,15167,0,0.14459794497949
"100",100,143,15168,0,0.14459794497949
"101",101,144,15169,0,0.14459794497949
"102",102,146,15269,0,0.14459794497949
"103",103,148,15252,0.0681794540651358,0.170475358068551
"104",104,149,15254,0.237157423313539,0.195619322806441
"105",105,150,15256,0.0216419241237721,0.19440689734358
"106",106,152,15270,0,0.17460580482465
"107",107,153,15273,0,0.0383266601894374
"108",108,155,15294,0.181262266593237,0.106328832457012
"109",109,156,15318,0.181262266593237,0.106328832457012
"110",110,157,15403,0.219745202067184,0.214257398793979
"111",111,158,15965,0.237846684949379,0.232988464652952
"112",112,160,17396,0,0.150682276720383
"113",113,161,19834,0.360564833769903,0.276892273465924
"114",114,164,3473,0.0299608383238344,0.191966869418267
"115",115,165,287,0.18306574239832,0.119833762169239
"116",116,166,684,0,0.123121846221655
"117",117,167,3081,0,0.175597593560404
"118",118,168,860,0.0180169222754197,0.237064096725463
"119",119,170,3452,0.0802186784099347,0.188872866324996
"120",120,171,1448,0.0611829006871428,0.251268839098031
"121",121,172,3781,0.0343239052781794,0.181904936242672
"122",122,173,1735,0.221393403843617,0.116046231829991
"123",123,175,2011,0.0149802911940607,0.191196341799554
"124",124,177,3620,0.0205820113107245,0.237351936561682
"125",125,178,2624,0.399849304641056,0.310667684629535
"126",126,179,3035,0.0894093809230252,0.177798773621829
"127",127,180,13060,0,0.181759124251265
"128",128,181,13069,0.0236408731330129,0.153153282254976
"129",129,182,13071,0.0906342954467231,0.18299155432028
"130",130,183,13073,0.494911154722012,0.3021125696902
"131",131,184,14446,0.309466304025927,0.236218533967008
"132",132,185,15302,0,0.173161081644862
"133",133,191,15489,0.481330357872001,0.289947471303147
"134",134,192,15740,0,0.181759124251265
"135",135,193,15882,0,0.13201360037923
"136",136,194,15925,0.437274895005921,0.270029591872795
"137",137,195,16129,0.072910850973607,0.131715017959481
"138",138,196,17304,0.0262225425666736,0.214334547684269
"139",139,197,17387,0.185572570780262,0.23785727246871
"140",140,198,19931,0.393873806655587,0.252060755173043
"141",141,199,19933,0.393873806655587,0.252060755173043
"142",142,200,332,0.0202740987416445,0.225500480983447
"143",143,206,1524,0.048588655063532,0.205825804407904
"144",144,209,1665,0.0487692902801057,0.204606095889285
"145",145,210,2318,0.0796608826931038,0.227419414052834
"146",146,211,2586,0.15886685103553,0.227279809882116
"147",147,214,3032,0.182818564258729,0.248753849120189
"148",148,215,3047,0.0487692902801057,0.204606095889285
"149",149,216,15682,0.0487692902801057,0.204606095889285
"150",150,217,12001,0.0796608826931038,0.227419414052834
"151",151,219,13097,0.437274895005921,0.270029591872795
"152",152,220,14410,0.254591195576677,0.266879734871493
"153",153,221,14443,0.254591195576677,0.266879734871493
"154",154,222,14889,0.254591195576677,0.266879734871493
"155",155,223,17993,0.254591195576677,0.266879734871493
"156",156,224,14933,0.0695728612319017,0.225316621217377
"157",157,225,15032,0.08016106528596,0.249445435071121
"158",158,226,15035,0.066528715793811,0.242154679857638
"159",159,227,15309,0.0677668949059663,0.220989753742579
"160",160,229,15316,0.0796608826931038,0.227419414052834
"161",161,233,15660,0.158893048809819,0.229425429555662
"162",162,235,15919,0.250280416813252,0.231830659870736
"163",163,236,15922,0.250280416813252,0.231830659870736
"164",164,237,17404,0.188829625016021,0.240957944141073
"165",165,238,17406,0.198876658027494,0.236056935467217
"166",166,239,20397,0.254591195576677,0.266879734871493
"167",167,241,3131,0.267502375688747,0.221684565124254
"168",168,242,2309,0.0343239052781794,0.181904936242672
"169",169,243,14839,0.232871642213101,0.17992475411642
"170",170,244,546,0.0343239052781794,0.181904936242672
"171",171,245,1643,0.0343239052781794,0.181904936242672
