"","id","stat_id","sitename","lat","long","x","y","stepps-abs_mag","stepps-BC","refab-settlebiomass","refab-second_deriv1000","pol-min_age","pol-max_age","pol-n_ages"
"NA.25",1665,209,"LostLake",46.719435,-87.97207,639675.130018375,1138692.68012836,0.0487692902801057,0.204606095889285,NA,NA,213.731819810809,1937.12069984942,25
"NA.26",1708,54,"MartinPond",47.173975,-94.943965,117799.057747584,1243006.11516788,0,0.14459794497949,NA,NA,172.570310898161,974.817332891552,36
"NA.27",1720,55,"McCraneyLake",47.17087,-95.70266,60960.519960891,1251259.60867284,0.0295702646372318,0.18800357530744,NA,NA,163.348764148787,187.288945943555,2
"18",1735,173,"LakeMendota",43.1,-89.416667,498782.725726672,744488.118802167,0.221393403843617,0.116046231829991,23.2859429229972,2.16025334394514e-12,208.116510302043,1962.24571430041,4
"19",1757,56,"LakeMinnie",47.244755,-95.007715,114173.268595867,1251503.78713486,0,0.14459794497949,27.0381343450703,3.58872263425336e-08,158.801019857274,314.089597108864,10
"NA.28",1778,59,"MudLake(US:Minnesota:Hubbard)",46.866667,-94.75,127450.171793184,1207028.65256114,0,0.142718617068443,NA,NA,391.164618181716,1982.44600751371,3
"20",1786,61,"MyrtleLake",47.982605,-93.3853,246021.47198662,1316332.62555567,0.0518248160808783,0.181826246003857,37.1749354496377,2.66937435433016e-09,254.15810015595,1816.96199436703,10
"NA.29",1830,64,"LakeOnamia",46.068333,-93.68,196641.747419429,1107803.83158335,0.0649469092088183,0.18509337733394,NA,NA,155.268491019979,472.281692392056,13
"NA.30",1831,65,"OndrisPond",46.341585,-94.408,145135.325357733,1145466.37678702,0,0.175969249020713,NA,NA,156.101015585302,1434.38887146961,22
"NA.31",1891,70,"PetersonSlough",46.966667,-95.316667,86441.314409346,1224339.54089977,0.0578900773411547,0.156679201721417,NA,NA,275.991535967023,1680.38002145703,4
"NA.32",1955,71,"PleasantLake",44.60587,-93.563475,184729.084365352,945162.408156753,0.115610898392348,0.0630959704406479,NA,NA,153.760784533162,491.038449631731,13
"22",1966,72,"PortageLake",47.081,-94.113,178688.459922578,1223950.61357802,0.254779391064156,0.186350165864098,44.1591922023545,8.43810215839929e-10,195.834186955977,1792.20269936856,7
